Item;Category;Price;City;Region;Country
Single serve fruit/gel bowls;Canned; 1.39;Greymouth;West Coast;New Zealand
Mushrooms;Produce; 0.99;Holguin;Holguin;Cuba
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Roma;Texas;United States
Wheat crackers (triscuit);Snack; 0.99;Venlo;Limburg;Netherlands
Celery;Produce; 0.99;Chicago;Illinois;United States
Belmont chocolate chip cookies;Snack; 1.49;Prudence Island;Rhode Island;United States
Mushrooms;Produce; 0.99;Wallops Island;Virginia;United States
Waffles;Frozen; 0.99;Wellington;Wellington;New Zealand
Lite drink mix (Crystal Lite);Beverages; 1.89;Saratoga;North Carolina;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Graysville;Tennessee;United States
Milk, 2%;Dairy; 2.69;Paris;Ile-De-France;France
Wheat crackers (triscuit);Snack; 0.99;Port Elizabeth;New Jersey;United States
Bananas;Produce; 0.33;Marthaville;Louisiana;United States
Single serve fruit/gel bowls;Canned; 1.39;Campeche;Campeche;Mexico
Waffles;Frozen; 0.99;Desmet;Idaho;United States
Spoon size shredded wheat;Cereal; 1.69;La Rochelle;Poitou-Charentes;France
Single serve peach cups;Canned; 1.39;Douglas City;California;United States
Lettuce, iceberg;Produce; 0.89;Tornillo;Texas;United States
Sausage, brown/serve;Frozen; 0.99;Holguin;Holguin;Cuba
Orange juice, not from concentrate;Dairy; 1.99;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Single serve fruit/gel bowls;Canned; 1.39;Cushing;Texas;United States
Peppers, tricolor pack;Produce; 1.99;Tornillo;Texas;United States
Cinnamon Grahams;Snack; 0.99;West Long Branch;New Jersey;United States
Cucumber (large);Produce; 0.49;Paris;Ile-De-France;France
Cheese, Colby brick;Dairy; 1.49;Houston;Ohio;United States
Butter;Dairy; 1.99;Hamburg;Arkansas;United States
Eggs, large;Dairy; 0.89;Byron;New York;United States
Single serve fruit/gel bowls;Canned; 1.39;Roxborough;Tobago;Trinidad and Tobago
Sweetener packets;Baking; 1.49;Victoria Falls;Matabeleland North;Zimbabwe
Snack crackers (ritz);Snack; 1.29;Crooks;South Dakota;United States
Saltines;Snack; 0.69;Tornillo;Texas;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Blountsville;Alabama;United States
Single serve fruit/gel bowls;Canned; 1.39;Port Elizabeth;New Jersey;United States
Broccoli stir fry mixture;Frozen; 0.89;Hamburg;Hamburg;Germany
Potatoes, Russett;Produce; 0.89;Scarborough;Tobago;Trinidad and Tobago
Baking soda;Baking; 0.39;Port Elizabeth;New Jersey;United States
Cheese, Colby brick;Dairy; 1.49;Los Angeles;California;United States
Belmont chocolate chip cookies;Snack; 1.49;Santiago del Estero;Santiago del Estero;Argentina
Snack crackers (ritz);Snack; 1.29;Campeche;Campeche;Mexico
Beef/bean burrito;Frozen; 0.29;Santa Fe;Tennessee;United States
Baking soda;Baking; 0.39;Port Harcourt;Rivers;Nigeria
Peppers, tricolor pack;Produce; 1.99;Santiago del Estero;Santiago del Estero;Argentina
Wheat crackers (triscuit);Snack; 0.99;Warsaw;Mazowieckie;Poland
Sausage, brown/serve;Frozen; 0.99;Warsaw;Mazowieckie;Poland
Potatoes, Russett;Produce; 0.89;Finlayson;Minnesota;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Santa Fe;Tennessee;United States
Butter;Dairy; 1.99;Molodesjnaja;Enderby Land;Antarctica
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Tokyo;Tokyo;Japan
Pudding mix, choc/vanilla;Baking; 0.29;Hechi;Guangxi;China
Tissues;Nonfoods; 0.89;Mill Creek;Oklahoma;United States
Milk, 2%;Dairy; 2.69;Kent City;Michigan;United States
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Hamburg;Illinois;United States
Snack crackers (ritz);Snack; 1.29;Thousandsticks;Kentucky;United States
Tyson roasted chicken;Meat; 3.99;Shanghai;Shanghai;China
Bananas;Produce; 0.33;La Rochelle;Poitou-Charentes;France
Spoon size shredded wheat;Cereal; 1.69;North Grafton;Massachusetts;United States
Cat litter, scoopable;Nonfoods; 2.99;Milano;Lombardia;Italy
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Port Elizabeth;New Jersey;United States
Cinnamon Grahams;Snack; 0.99;Douglas City;California;United States
Texas cheese toast;Frozen; 1.49;Amsterdam;Ohio;United States
Texas cheese toast;Frozen; 1.49;Gafsa;Qafsah;Tunisia
Spoon size shredded wheat;Cereal; 1.69;Cattaraugus;New York;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Finlayson;Minnesota;United States
Eggs, large;Dairy; 0.89;Hamburg;Arkansas;United States
Baking soda;Baking; 0.39;Las Vegas;Nevada;United States
Cat litter, scoopable;Nonfoods; 2.99;London;Ontario;Canada
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Plymouth;Tobago;Trinidad and Tobago
L'Oven Fresh white bread;Baked goods; 0.59;Barcelona;CataluÒa;Spain
Beef/bean burrito;Frozen; 0.29;Venlo;Limburg;Netherlands
Rye bread, seeded;Baked goods; 0.99;Warsaw;Mazowieckie;Poland
Celery;Produce; 0.99;Vest;Kentucky;United States
Cinnamon Grahams;Snack; 0.99;Prudence Island;Rhode Island;United States
Orange juice, not from concentrate;Dairy; 1.99;Gafsa;Qafsah;Tunisia
Butter;Dairy; 1.99;Hechi;Guangxi;China
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Cairo;Illinois;United States
Pudding mix, choc/vanilla;Baking; 0.29;Victoria Falls;Matabeleland North;Zimbabwe
Orange juice, not from concentrate;Dairy; 1.99;Tornillo;Texas;United States
Lettuce, iceberg;Produce; 0.89;Stirling;Scotland;United Kingdom
Cinnamon Grahams;Snack; 0.99;Fengjie;Sichuan;China
Sausage, brown/serve;Frozen; 0.99;Thelma;Kentucky;United States
Tissues;Nonfoods; 0.89;Stirling;Scotland;United Kingdom
Cinnamon Grahams;Snack; 0.99;Thousandsticks;Kentucky;United States
Eggs, large;Dairy; 0.89;Trondheim;Sor-Trondelag;Norway
Tyson roasted chicken;Meat; 3.99;Amsterdam;Ohio;United States
Rye bread, seeded;Baked goods; 0.99;Borden;Indiana;United States
Single serve peach cups;Canned; 1.39;Holguin;Holguin;Cuba
Applesauce cups (reg/cinnamon);Canned; 0.89;Davos;Graubunden;Switzerland
Snack crackers (ritz);Snack; 1.29;Ormond Beach;Florida;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Montpellier;Languedoc-Roussillon;France
Peppers, tricolor pack;Produce; 1.99;Wellington;Wellington;New Zealand
Celery;Produce; 0.99;Vest;Kentucky;United States
Sweetener packets;Baking; 1.49;Graysville;Tennessee;United States
Saltines;Snack; 0.69;Graysville;Tennessee;United States
Butter;Dairy; 1.99;Malone;New York;United States
Saltines;Snack; 0.69;Prudence Island;Rhode Island;United States
Baking soda;Baking; 0.39;Thousandsticks;Kentucky;United States
Beef/bean burrito;Frozen; 0.29;Chicago;Illinois;United States
Peppers, green only;Produce; 1.39;Eau Galle;Wisconsin;United States
Orange juice, not from concentrate;Dairy; 1.99;Cairo;Illinois;United States
Snack crackers (ritz);Snack; 1.29;Desmet;Idaho;United States
Spoon size shredded wheat;Cereal; 1.69;Stirling;Scotland;United Kingdom
Bananas;Produce; 0.33;Rogersville;Alabama;United States
Waffles;Frozen; 0.99;New York;New York;United States
Spoon size shredded wheat;Cereal; 1.69;Thelma;Kentucky;United States
Peppers, tricolor pack;Produce; 1.99;Elizabeth;New Jersey;United States
Cat litter, scoopable;Nonfoods; 2.99;Jacksonville;Alabama;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Prudence Island;Rhode Island;United States
Single serve peach cups;Canned; 1.39;Hamburg;Arkansas;United States
Tissues;Nonfoods; 0.89;Ormond Beach;Florida;United States
Saltines;Snack; 0.69;Montpellier;Languedoc-Roussillon;France
Orange juice, not from concentrate;Dairy; 1.99;Mount Hope;Ohio;United States
Single serve fruit/gel bowls;Canned; 1.39;Seven Rivers;Westmoreland;Jamaica
Peppers, tricolor pack;Produce; 1.99;West Long Branch;New Jersey;United States
Cheese, Colby brick;Dairy; 1.49;Shanghai;Shanghai;China
Milk, 2%;Dairy; 2.69;San Francisco;California;United States
Sausage, brown/serve;Frozen; 0.99;Jerusalem;Yerushalayim  (Jerusalem);Israel
L'Oven Fresh white bread;Baked goods; 0.59;San Francisco;California;United States
Baking soda;Baking; 0.39;Hamburg;Arkansas;United States
Cucumber (large);Produce; 0.49;Hawkinsville;Georgia;United States
Texas cheese toast;Frozen; 1.49;Djerba;Madanin;Tunisia
Pudding mix, choc/vanilla;Baking; 0.29;Hawkinsville;Georgia;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Djerba;Madanin;Tunisia
Peppers, tricolor pack;Produce; 1.99;Vest;Kentucky;United States
Milk, 2%;Dairy; 2.69;Roma;Texas;United States
Bananas;Produce; 0.33;Bangkok;Krung Thep Mahanakhon;Thailand
Spoon size shredded wheat;Cereal; 1.69;Fengjie;Sichuan;China
Cat litter, scoopable;Nonfoods; 2.99;Warsaw;Mazowieckie;Poland
Snack crackers (ritz);Snack; 1.29;Cologne;Nordrhein-Westfalen;Germany
Tyson roasted chicken;Meat; 3.99;Ormond Beach;Florida;United States
Potatoes, Russett;Produce; 0.89;Malone;New York;United States
Celery;Produce; 0.99;Hamburg;Hamburg;Germany
Bananas;Produce; 0.33;Djerba;Madanin;Tunisia
Baking soda;Baking; 0.39;Djerba;Madanin;Tunisia
Orange juice, not from concentrate;Dairy; 1.99;Beaverton;Michigan;United States
Tyson roasted chicken;Meat; 3.99;Helsinki;Etela-Suomen Laani;Finland
Potatoes, Russett;Produce; 0.89;Barcelona;CataluÒa;Spain
Orange juice, not from concentrate;Dairy; 1.99;Moscow;Moskva;Russia
Baking soda;Baking; 0.39;Kent City;Michigan;United States
Peppers, green only;Produce; 1.39;Wallops Island;Virginia;United States
Deluxe topping pizza;Frozen; 1.99;Bluff City;Kansas;United States
Larado paper plates;Nonfoods; 0.89;Madrid;Distrito Capital;Colombia
Single serve peach cups;Canned; 1.39;St Andrews;Scotland;United Kingdom
Baking soda;Baking; 0.39;Moscow;Moskva;Russia
Beef/bean burrito;Frozen; 0.29;Hamburg;Illinois;United States
Tissues;Nonfoods; 0.89;Paris;Arkansas;United States
Single serve fruit/gel bowls;Canned; 1.39;Desmet;Idaho;United States
Single serve fruit/gel bowls;Canned; 1.39;Warsaw;Mazowieckie;Poland
Beef/bean burrito;Frozen; 0.29;Greymouth;West Coast;New Zealand
Single serve peach cups;Canned; 1.39;Jerusalem;Yerushalayim  (Jerusalem);Israel
Single serve peach cups;Canned; 1.39;Marthaville;Louisiana;United States
Eggs, large;Dairy; 0.89;Milano;Lombardia;Italy
Snack crackers (ritz);Snack; 1.29;Blountsville;Alabama;United States
Waffles;Frozen; 0.99;Molodesjnaja;Enderby Land;Antarctica
Rye bread, seeded;Baked goods; 0.99;Hamburg;Arkansas;United States
Peppers, green only;Produce; 1.39;Roxborough;Tobago;Trinidad and Tobago
Broccoli stir fry mixture;Frozen; 0.89;Houston;Ohio;United States
Cinnamon Grahams;Snack; 0.99;Kent City;Michigan;United States
Snack crackers (ritz);Snack; 1.29;Cologne;Nordrhein-Westfalen;Germany
Cinnamon Grahams;Snack; 0.99;Tornillo;Texas;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Saratoga;North Carolina;United States
Mushrooms;Produce; 0.99;Sofia;Sofiya;Bulgaria
Deluxe topping pizza;Frozen; 1.99;Eau Galle;Wisconsin;United States
Celery;Produce; 0.99;Scarborough;Tobago;Trinidad and Tobago
Broccoli stir fry mixture;Frozen; 0.89;Ormond Beach;Florida;United States
Peppers, tricolor pack;Produce; 1.99;Malone;New York;United States
Waffles;Frozen; 0.99;Prudence Island;Rhode Island;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Cologne;Nordrhein-Westfalen;Germany
Celery;Produce; 0.99;Meadowlands;Minnesota;United States
Broccoli stir fry mixture;Frozen; 0.89;Montpellier;Languedoc-Roussillon;France
Milk, 2%;Dairy; 2.69;Borden;Indiana;United States
Wheat crackers (triscuit);Snack; 0.99;Shanghai;Shanghai;China
Celery;Produce; 0.99;Djerba;Madanin;Tunisia
Applesauce cups (reg/cinnamon);Canned; 0.89;Campeche;Campeche;Mexico
Larado paper plates;Nonfoods; 0.89;Elizabeth;New Jersey;United States
Mushrooms;Produce; 0.99;Paris;Ile-De-France;France
Deluxe topping pizza;Frozen; 1.99;Bangkok;Krung Thep Mahanakhon;Thailand
Peppers, green only;Produce; 1.39;New York;New York;United States
Eggs, large;Dairy; 0.89;Montpellier;Languedoc-Roussillon;France
Texas cheese toast;Frozen; 1.49;Amsterdam;Ohio;United States
Belmont chocolate chip cookies;Snack; 1.49;La Rochelle;Poitou-Charentes;France
Lite drink mix (Crystal Lite);Beverages; 1.89;Marthaville;Louisiana;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Finlayson;Minnesota;United States
Peppers, tricolor pack;Produce; 1.99;Meadowlands;Minnesota;United States
L'Oven Fresh white bread;Baked goods; 0.59;Douglas City;California;United States
Butter;Dairy; 1.99;Stirling;Scotland;United Kingdom
Orange juice, not from concentrate;Dairy; 1.99;Glendale;Arizona;United States
Potatoes, Russett;Produce; 0.89;Desmet;Idaho;United States
Sausage, brown/serve;Frozen; 0.99;Aalestrup;Nordjylland;Denmark
Deluxe topping pizza;Frozen; 1.99;Chicago;Illinois;United States
Wheat crackers (triscuit);Snack; 0.99;Moscow;Moskva;Russia
Lite drink mix (Crystal Lite);Beverages; 1.89;Roxborough;Tobago;Trinidad and Tobago
Tyson roasted chicken;Meat; 3.99;Cushing;Texas;United States
Baking soda;Baking; 0.39;Moscow;Moskva;Russia
Larado paper plates;Nonfoods; 0.89;Crooks;South Dakota;United States
Cat litter, scoopable;Nonfoods; 2.99;Amsterdam;Ohio;United States
Wheat crackers (triscuit);Snack; 0.99;Mount Hope;Ohio;United States
Cheese, Colby brick;Dairy; 1.49;Paris;Arkansas;United States
Broccoli stir fry mixture;Frozen; 0.89;Vest;Kentucky;United States
Belmont chocolate chip cookies;Snack; 1.49;St Andrews;Scotland;United Kingdom
Peppers, green only;Produce; 1.39;Elizabeth;New Jersey;United States
Beef/bean burrito;Frozen; 0.29;Vienna;Georgia;United States
Rye bread, seeded;Baked goods; 0.99;Douglas City;California;United States
Rye bread, seeded;Baked goods; 0.99;Malone;New York;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Venlo;Limburg;Netherlands
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Scarborough;Tobago;Trinidad and Tobago
Lettuce, iceberg;Produce; 0.89;Rogersville;Alabama;United States
Cinnamon Grahams;Snack; 0.99;Thelma;Kentucky;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;North Grafton;Massachusetts;United States
Lettuce, iceberg;Produce; 0.89;Bangkok;Krung Thep Mahanakhon;Thailand
Spoon size shredded wheat;Cereal; 1.69;Paris;Arkansas;United States
Beef/bean burrito;Frozen; 0.29;Blountsville;Alabama;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Santa Fe;Tennessee;United States
Peppers, tricolor pack;Produce; 1.99;Saratoga;North Carolina;United States
Broccoli stir fry mixture;Frozen; 0.89;Holguin;Holguin;Cuba
Peppers, tricolor pack;Produce; 1.99;Thousandsticks;Kentucky;United States
Spoon size shredded wheat;Cereal; 1.69;Sliema;Malta;Malta
Deluxe topping pizza;Frozen; 1.99;Thousandsticks;Kentucky;United States
Eggs, large;Dairy; 0.89;Blountsville;Alabama;United States
Wheat crackers (triscuit);Snack; 0.99;Thelma;Kentucky;United States
Sausage, brown/serve;Frozen; 0.99;San Francisco;California;United States
Cat litter, scoopable;Nonfoods; 2.99;Scarborough;Tobago;Trinidad and Tobago
Peppers, tricolor pack;Produce; 1.99;Milano;Lombardia;Italy
Bananas;Produce; 0.33;Kent City;Michigan;United States
Milk, 2%;Dairy; 2.69;Beijing;Beijing;China
Bananas;Produce; 0.33;Saratoga;North Carolina;United States
Orange juice, not from concentrate;Dairy; 1.99;Milano;Lombardia;Italy
Applesauce cups (reg/cinnamon);Canned; 0.89;Herbster;Wisconsin;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Athens;Attiki;Greece
Spoon size shredded wheat;Cereal; 1.69;Kent City;Michigan;United States
Pudding mix, choc/vanilla;Baking; 0.29;Byron;New York;United States
Potatoes, Russett;Produce; 0.89;Beaverton;Michigan;United States
Pudding mix, choc/vanilla;Baking; 0.29;Victoria Falls;Matabeleland North;Zimbabwe
Bananas;Produce; 0.33;Prudence Island;Rhode Island;United States
Peppers, green only;Produce; 1.39;La Rochelle;Poitou-Charentes;France
Broccoli stir fry mixture;Frozen; 0.89;Stirling;Scotland;United Kingdom
Cat litter, scoopable;Nonfoods; 2.99;St Andrews;Scotland;United Kingdom
Deluxe topping pizza;Frozen; 1.99;Jacksonville;Alabama;United States
Sweetener packets;Baking; 1.49;Hamburg;Illinois;United States
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Hamburg;Arkansas;United States
Milk, 2%;Dairy; 2.69;Port Harcourt;Rivers;Nigeria
Sweetener packets;Baking; 1.49;West Long Branch;New Jersey;United States
Cat litter, scoopable;Nonfoods; 2.99;Tokyo;Tokyo;Japan
Wheat crackers (triscuit);Snack; 0.99;Houston;Ohio;United States
Cheese, Colby brick;Dairy; 1.49;Houston;Ohio;United States
Mushrooms;Produce; 0.99;Santiago;Santiago;Dominican Republic
Applesauce cups (reg/cinnamon);Canned; 0.89;Barcelona;CataluÒa;Spain
Rye bread, seeded;Baked goods; 0.99;San Francisco;California;United States
Potatoes, Russett;Produce; 0.89;Graysville;Tennessee;United States
Milk, 2%;Dairy; 2.69;Plymouth;Tobago;Trinidad and Tobago
Sweetener packets;Baking; 1.49;Eau Galle;Wisconsin;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Stirling;Scotland;United Kingdom
Peppers, green only;Produce; 1.39;Ormond Beach;Florida;United States
Snack crackers (ritz);Snack; 1.29;Holguin;Holguin;Cuba
Larado paper plates;Nonfoods; 0.89;Jerusalem;Yerushalayim  (Jerusalem);Israel
Orange juice, not from concentrate;Dairy; 1.99;Hamburg;Hamburg;Germany
Applesauce cups (reg/cinnamon);Canned; 0.89;Lone Pine;California;United States
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Trondheim;Sor-Trondelag;Norway
Orange juice, not from concentrate;Dairy; 1.99;Davos;Graubunden;Switzerland
Beef/bean burrito;Frozen; 0.29;Moscow;Moskva;Russia
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Sofia;Sofiya;Bulgaria
Mushrooms;Produce; 0.99;Houston;Ohio;United States
Single serve peach cups;Canned; 1.39;Victoria Falls;Matabeleland North;Zimbabwe
Sweetener packets;Baking; 1.49;Mount Hope;Ohio;United States
Lettuce, iceberg;Produce; 0.89;Elizabeth;New Jersey;United States
Texas cheese toast;Frozen; 1.49;Kyoto;Kyoto;Japan
Pudding mix, choc/vanilla;Baking; 0.29;Houston;Ohio;United States
Cat litter, scoopable;Nonfoods; 2.99;Tornillo;Texas;United States
Spoon size shredded wheat;Cereal; 1.69;Lone Pine;California;United States
Cinnamon Grahams;Snack; 0.99;Kent City;Michigan;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Saratoga;North Carolina;United States
Deluxe topping pizza;Frozen; 1.99;Port Harcourt;Rivers;Nigeria
Broccoli stir fry mixture;Frozen; 0.89;Madrid;Distrito Capital;Colombia
Waffles;Frozen; 0.99;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Cinnamon Grahams;Snack; 0.99;Santiago del Estero;Santiago del Estero;Argentina
Peppers, tricolor pack;Produce; 1.99;Vest;Kentucky;United States
Cheese, Colby brick;Dairy; 1.49;Houston;Ohio;United States
Butter;Dairy; 1.99;Fengjie;Sichuan;China
Larado paper plates;Nonfoods; 0.89;Kent City;Michigan;United States
Cucumber (large);Produce; 0.49;Desmet;Idaho;United States
Sausage, brown/serve;Frozen; 0.99;Finlayson;Minnesota;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Hamburg;Hamburg;Germany
Deluxe topping pizza;Frozen; 1.99;Cairo;Illinois;United States
Cinnamon Grahams;Snack; 0.99;Jose Leon Suarez;Buenos Aires;Argentina
Larado paper plates;Nonfoods; 0.89;Tokyo;Tokyo;Japan
Cat litter, scoopable;Nonfoods; 2.99;Gafsa;Qafsah;Tunisia
Waffles;Frozen; 0.99;Thousandsticks;Kentucky;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Venlo;Limburg;Netherlands
Tyson roasted chicken;Meat; 3.99;Campeche;Campeche;Mexico
Milk, 2%;Dairy; 2.69;West Long Branch;New Jersey;United States
Orange juice, not from concentrate;Dairy; 1.99;Paris;Arkansas;United States
Sausage, brown/serve;Frozen; 0.99;Plymouth;Tobago;Trinidad and Tobago
Snack crackers (ritz);Snack; 1.29;Athens;Attiki;Greece
Potatoes, Russett;Produce; 0.89;Kyoto;Kyoto;Japan
Milk, 2%;Dairy; 2.69;Chicago;Illinois;United States
Peppers, tricolor pack;Produce; 1.99;Chicago;Illinois;United States
Single serve peach cups;Canned; 1.39;Tokyo;Tokyo;Japan
Snack crackers (ritz);Snack; 1.29;Milano;Lombardia;Italy
Deluxe topping pizza;Frozen; 1.99;Hawkinsville;Georgia;United States
Single serve peach cups;Canned; 1.39;Venlo;Limburg;Netherlands
Waffles;Frozen; 0.99;Tornillo;Texas;United States
Cucumber (large);Produce; 0.49;Chicago;Illinois;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Jacksonville;Alabama;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Barcelona;CataluÒa;Spain
Baking soda;Baking; 0.39;Djerba;Madanin;Tunisia
Milk, 2%;Dairy; 2.69;Paris;Ile-De-France;France
Potatoes, Russett;Produce; 0.89;Houston;Ohio;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Wellington;Wellington;New Zealand
Applesauce cups (reg/cinnamon);Canned; 0.89;Helsinki;Etela-Suomen Laani;Finland
Texas cheese toast;Frozen; 1.49;Thousandsticks;Kentucky;United States
Belmont chocolate chip cookies;Snack; 1.49;Roxborough;Tobago;Trinidad and Tobago
Tyson roasted chicken;Meat; 3.99;Blountsville;Alabama;United States
Baking soda;Baking; 0.39;Greymouth;West Coast;New Zealand
Spoon size shredded wheat;Cereal; 1.69;Holguin;Holguin;Cuba
Texas cheese toast;Frozen; 1.49;Desmet;Idaho;United States
L'Oven Fresh white bread;Baked goods; 0.59;Tornillo;Texas;United States
Rye bread, seeded;Baked goods; 0.99;Athens;Attiki;Greece
Butter;Dairy; 1.99;La Rochelle;Poitou-Charentes;France
Celery;Produce; 0.99;Malone;New York;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Hamburg;Hamburg;Germany
Broccoli stir fry mixture;Frozen; 0.89;Mill Creek;Oklahoma;United States
Baking soda;Baking; 0.39;Lone Pine;California;United States
Cinnamon Grahams;Snack; 0.99;Victoria Falls;Matabeleland North;Zimbabwe
Single serve peach cups;Canned; 1.39;Port Harcourt;Rivers;Nigeria
Celery;Produce; 0.99;Venlo;Limburg;Netherlands
Bananas;Produce; 0.33;Hamburg;Arkansas;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Trondheim;Sor-Trondelag;Norway
Broccoli stir fry mixture;Frozen; 0.89;Cattaraugus;New York;United States
Saltines;Snack; 0.69;Haslev;Vestsjalland;Denmark
Milk, 2%;Dairy; 2.69;Molodesjnaja;Enderby Land;Antarctica
Spoon size shredded wheat;Cereal; 1.69;Borden;Indiana;United States
Sweetener packets;Baking; 1.49;Aalestrup;Nordjylland;Denmark
Wheat crackers (triscuit);Snack; 0.99;Ormond Beach;Florida;United States
Belmont chocolate chip cookies;Snack; 1.49;Marthaville;Louisiana;United States
Tyson roasted chicken;Meat; 3.99;Lone Pine;California;United States
Pudding mix, choc/vanilla;Baking; 0.29;Holguin;Holguin;Cuba
Single serve fruit/gel bowls;Canned; 1.39;Fengjie;Sichuan;China
Sweetener packets;Baking; 1.49;Hamburg;Illinois;United States
Cinnamon Grahams;Snack; 0.99;Montpellier;Languedoc-Roussillon;France
Deluxe topping pizza;Frozen; 1.99;Paris;Arkansas;United States
Rye bread, seeded;Baked goods; 0.99;Cushing;Texas;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Kent City;Michigan;United States
Cheese, Colby brick;Dairy; 1.49;Hamburg;Illinois;United States
Larado paper plates;Nonfoods; 0.89;Chicago;Illinois;United States
Broccoli stir fry mixture;Frozen; 0.89;Elizabeth;New Jersey;United States
Sausage, brown/serve;Frozen; 0.99;Santiago del Estero;Santiago del Estero;Argentina
Peppers, tricolor pack;Produce; 1.99;Moscow;Moskva;Russia
Peppers, green only;Produce; 1.39;Franklin Springs;New York;United States
Waffles;Frozen; 0.99;Athens;Attiki;Greece
Celery;Produce; 0.99;Warsaw;Mazowieckie;Poland
Broccoli stir fry mixture;Frozen; 0.89;Moscow;Moskva;Russia
Larado paper plates;Nonfoods; 0.89;Bangkok;Krung Thep Mahanakhon;Thailand
Beef/bean burrito;Frozen; 0.29;Graysville;Tennessee;United States
Orange juice, not from concentrate;Dairy; 1.99;Los Angeles;California;United States
Texas cheese toast;Frozen; 1.49;Montpellier;Languedoc-Roussillon;France
Baking soda;Baking; 0.39;Gafsa;Qafsah;Tunisia
Tissues;Nonfoods; 0.89;Eau Galle;Wisconsin;United States
Single serve fruit/gel bowls;Canned; 1.39;Herbster;Wisconsin;United States
Broccoli stir fry mixture;Frozen; 0.89;Jacksonville;Alabama;United States
Celery;Produce; 0.99;Trondheim;Sor-Trondelag;Norway
Eggs, large;Dairy; 0.89;Mount Hope;Ohio;United States
Tyson roasted chicken;Meat; 3.99;Helsinki;Etela-Suomen Laani;Finland
Single serve peach cups;Canned; 1.39;Montpellier;Languedoc-Roussillon;France
Broccoli stir fry mixture;Frozen; 0.89;Blountsville;Alabama;United States
Peppers, green only;Produce; 1.39;Jerusalem;Yerushalayim  (Jerusalem);Israel
Lettuce, iceberg;Produce; 0.89;Athens;Attiki;Greece
Mushrooms;Produce; 0.99;Hamburg;Hamburg;Germany
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Beijing;Beijing;China
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Kent City;Michigan;United States
Single serve fruit/gel bowls;Canned; 1.39;Borden;Indiana;United States
Cucumber (large);Produce; 0.49;Holguin;Holguin;Cuba
Spoon size shredded wheat;Cereal; 1.69;Trondheim;Sor-Trondelag;Norway
Potatoes, Russett;Produce; 0.89;Chicago;Illinois;United States
Peppers, tricolor pack;Produce; 1.99;Beijing;Beijing;China
Celery;Produce; 0.99;Vest;Kentucky;United States
Tyson roasted chicken;Meat; 3.99;Los Angeles;California;United States
Cat litter, scoopable;Nonfoods; 2.99;Houston;Ohio;United States
Spoon size shredded wheat;Cereal; 1.69;Thousandsticks;Kentucky;United States
Broccoli stir fry mixture;Frozen; 0.89;Cairo;Illinois;United States
Rye bread, seeded;Baked goods; 0.99;Hawkinsville;Georgia;United States
Tyson roasted chicken;Meat; 3.99;Moscow;Moskva;Russia
Pudding mix, choc/vanilla;Baking; 0.29;Amsterdam;Ohio;United States
Celery;Produce; 0.99;Shanghai;Shanghai;China
Snack crackers (ritz);Snack; 1.29;Houston;Ohio;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Gafsa;Qafsah;Tunisia
